Message,Message_Token,Message_Tagged,Hatespeech_Level,Hatespeech,Sentiment,hatx,Emotion
# ไทยแลนด์สู้ๆ..พี่น้องพม่าสู้ๆ# ::: ขอบคุณและให้กำลังใจคุณหมอคุณพยาบาลทีมงานทุกคนทุกฝ่าย..คนไทยทุกคน ::: สู้โว้ย ตามนี้,ไทยแลนด์|สู้ๆ|พี่น้อง|พม่า|สู้ๆ|ขอบคุณและให้|กําลังใจ|คุณหมอ|คุณ|พยาบาล|ทีมงาน|ทุกคน|ทุกฝ่าย|คนไทยทุกคน| |สู้|โว้ย| |ตามนี้,,1,Nonhatespeech,Neutral,,trust
ไปด่าเขาทําไมมันเกิดขึ้นแล้วเราต้องช่วยกันไม่ว่าเขาจะเป็นพม่าหรึอไทยเราคนรักกันเข้ามันเป็นกรรมของมนุษย์,ไป|ด่า|เขา|ทําไมมัน|เกิดขึ้น|แล้ว|เราต้อง|ช่วยกัน|ไม่|ว่าเขาจะ|เป็น|พม่า|ห|รึ|อ|ไทย|เรา|คน|รักกัน|เข้า|มันเป็น|กรรม|ของมนุษย์,,1,Nonhatespeech,Neutral,,trust
เอามาอีกพม่านะให้มันตายห้าเมิดสะ,เอามา|อีก|พม่า|นะ|ให้มัน|ตาย|ห้า|เ|มิด|สะ,เอามา|อีก|พม่า|นะ|#ให้มัน|#ตาย|#ห้า|#เมิด|#สะ,-1,Hatespeech,Negative,เอามา อีก พม่า นะ #ให้มัน #ตาย #ห้า #เมิด #สะ,Anger
บอกให้คนพม่าที่คุย?รู้เรื่อง?บอกพี่น้อง?ชาว?พม่าอย่าพึ่งมาตอนนี้ไก้ไหม.. บอกมันให้หน่อยขอร้อง,บอกให้|คน|พม่า|ที่|คุย|รู้เรื่อง|บอก|พี่น้อง|ชาวพม่า|อย่าพึ่ง|มา|ตอนนี้|ได้|ไหม|บอกมัน|ให้หน่อย|ขอร้อง,,0,Nonhatespeech,Negative,,Sadness
พม่ามันยึดสมุทรสาครได้แล้วจริงๆ ส่งไส้ศึกมาขนาดนี้งามไส้แล้ว ยังจะมาอีก60000ทัพหลวง เมืองหน้าด่านต้องแข็งระดับไหนถึงจะรอด ยิงแมร่งทิ้งๆๆๆใครเข้ามาแบบผิดๆ,พม่า|มัน|ยึด|สมุทรสาคร|ได้แล้ว|จริงๆ| |ส่ง|ไส้|ศึก|มา|ขนาดนี้|งาม|ไส้|แล้ว| |ยังจะ|มาอีก|ทัพ|หลวง| |เมือง|หน้า|ด่าน|ต้อง|แข็ง|ระดับ|ไหน|ถึง|จะรอด| |ยิง|แมร่ง|ทิ้ง|ๆๆๆ|ใคร|เข้ามา|แบบ|ผิดๆ,#พม่า|มัน|#ยึด|#สมุทรสาคร|ได้แล้ว|จริงๆ| |ส่ง|ไส้|ศึก|มา|ขนาดนี้|งาม|ไส้|แล้ว| |ยังจะ|มาอีก|ทัพ|หลวง| |เมือง|หน้า|ด่าน|ต้อง|แข็ง|ระดับ|ไหน|ถึง|จะรอด| |#ยิง|#แมร่ง|#ทิ้ง|ๆๆๆ|ใคร|เข้ามา|แบบ|ผิดๆ,-2,Hatespeech,Negative,#พม่า มัน #ยึด #สมุทรสาคร ได้แล้ว จริงๆ   ส่ง ไส้ ศึก มา ขนาดนี้ งาม ไส้ แล้ว   ยังจะ มาอีก ทัพ หลวง   เมือง หน้า ด่าน ต้อง แข็ง ระดับ ไหน ถึง จะรอด   #ยิง #แมร่ง #ทิ้ง ๆๆๆ ใคร เข้ามา แบบ ผิดๆ,Anger
ฝายหลวง ป่าไม้แดง เอาพม่าไปฆ่าของให้หมดครับ?55,ฝาย|หลวง| |ป่าไม้|แดง|เอาพม่า|ไป|ฆ่า|ของ|ให้หมด|ครับ,ฝาย|หลวง| |ป่าไม้|แดง|#เอาพม่า|#ไป|#ฆ่า|ของ|#ให้หมด|ครับ,-2,Hatespeech,Negative,ฝาย หลวง   ป่าไม้ แดง #เอาพม่า #ไป #ฆ่า ของ #ให้หมด ครับ,Anger
แยกให้เค้า ไปอยู่ สักที่ สถานที่ ที่จัดให้ นายจ้างคงไม่ตายหรอก หากไม่มี พม่า สัก 2 อาทิต,แยก|ให้เค้า| |ไปอยู่| |สัก|ที่| |สถานที่| |ที่|จัดให้| |นายจ้าง|คงไม่|ตาย|หรอก| |หากไม่มี| |พม่า| |สัก| |อาทิ|ต,,0,Nonhatespeech,Positive,,Others
ไม่ว่าจะเป็นต่างด้าวเขาก็คนเหมือนกันในเมื่อมันเกิดขึ้นแล้วต้องดูแลรักษาจะไม่ออกมาติดคนไทยเกิดเป็นมนุษย์ต้องมีน้ำใจบ้างไม่ใช่ว่าด่าๆๆเห็นความผิดพม่าเท่าภูเขาเลยหรอสงสารเขาบ้างจากบ้านมาไกรพูดภาษาไทยไม่ได้ถ้าตัวเองเจอแบบนี้จะรู้สืกอยังไง,ไม่ว่าจะเป็น|ต่างด้าว|เขาก็|คน|เหมือนกัน|ในเมื่อ|มัน|เกิดขึ้น|แล้ว|ต้อง|ดูแลรักษา|จะไม่|ออกมา|ติด|คนไทย|เกิด|เป็นมนุษย์|ต้อง|มีน้ําใจ|บ้าง|ไม่ใช่ว่า|ด่า|ๆๆ|เห็น|ความผิด|พม่า|เท่า|ภูเขา|เลยหรอ|สงสาร|เขา|บ้าง|จากบ้าน|มา|ไกร|พูด|ภาษาไทย|ไม่ได้|ถ้า|ตัวเอง|เจอแบบนี้|จะรู้|ส|ื|กอ|ยังไง,,1,Nonhatespeech,Neutral,,trust
รู้วันเกิด ไม่รู้วันตาย น่าจะให้พวกพม่านี้ไปทำงานที่ทำเนียบรัฐบาลน่ะ...มันจะได้ติดกันทั้งมำเนียบแล้วมันเอามากักตัวให้เปลืองข้าวเปลืองน้ำทำไมทำไมไส่ส่งกลับประเทศพม่าไป,รู้วันเกิด|ไม่รู้วัน|ตาย|น่าจะให้|พวก|พม่า|นี้|ไปทํางาน|ที่|ทําเนียบ|รัฐบาล|น่ะ|มันจะ|ได้|ติดกัน|ทั้ง|ม|ํา|เนีย|บ|แล้วมัน|เอามา|กักตัว|ให้|เปลือง|ข้าว|เปลือง|น้ํา|ทําไม|ทําไม|ไส|่|ส่งกลับ|ประเทศพม่า|ไป,#รู้วันเกิด|#ไม่รู้วัน|#ตาย|น่าจะให้|#พวก|#พม่า|นี้|ไปทํางาน|ที่|ทําเนียบ|รัฐบาล|น่ะ|มันจะ|ได้|ติดกัน|ทั้ง|ทำ|เนียบ|แล้วมัน|เอามา|กักตัว|ให้|#เปลือง|#ข้าว|#เปลือง|#น้ำ|ทําไม|ทําไม|ไม่|#ส่งกลับ|#ประเทศพม่า|#ไป,-1,Hatespeech,Negative,#รู้วันเกิด #ไม่รู้วัน #ตาย น่าจะให้ #พวก #พม่า นี้ ไปทํางาน ที่ ทําเนียบ รัฐบาล น่ะ มันจะ ได้ ติดกัน ทั้ง ทำ เนียบ แล้วมัน เอามา กักตัว ให้ #เปลือง #ข้าว #เปลือง #น้ำ ทําไม ทําไม ไม่ #ส่งกลับ #ประเทศพม่า #ไป,Anger
ณ ที่แห่งนี้สมุทรสาคร ผมอยู่ที่นี่ห่างจาก ตลาดทะเลไทย 8กม. พี่น้องที่อยู่หมู่บ้านนี้ มีแต่รง. คนไทย7000 พม่า3-4 พัน ผมไม่เห็นเขาวิตกกังวนจนเกินเหตุ ผมก็พึ่งไปซื้อของที่มหาชัยมา ไม่ได้ประมาทนะครับใส่แมสล้างมือตลอด,ณ| |ที่|แห่งนี้|สมุทรสาคร|ผมอยู่ที่นี่|ห่างจาก| |ตลาด|ทะเล|ไทย| |กม| |พี่น้อง|ที่อยู่|หมู่บ้าน|นี้|มีแต่รง| |คนไทย| |พม่า| |พัน|ผมไม่เห็นเขา|วิตก|กัง|วน|จน|เกิน|เหตุ|ผมก็พึ่ง|ไปซื้อ|ของ|ที่|มหาชัย|มา|ไม่ได้ประมาท|นะครับ|ใส่|แมส|ล้างมือ|ตลอด,,0,Nonhatespeech,Positive,,Others
ไม่เห็นใจพวกนี้เชื้อมาแพร่ อยุ่ประเทศตัวเอง มีการรักษาจริงจังหรือเปล่า ทุกวันนี้ไปหาหมอที่ร.พ.เจอแต่พม่า คนไทยต้องรอพม่าตรวจเสร็จคนไทยถึงได้ตรวจ,ไม่เห็นใจ|พวกนี้|เชื้อ|มา|แพร่| |อยุ่|ประเทศ|ตัวเอง|มีการรักษา|จริงจัง|หรือเปล่า|ทุกวันนี้ไปหาหมอ|ที่|รพ|เจอ|แต่|พม่า| |คนไทย|ต้องรอ|พม่า|ตรวจ|เสร็จ|คนไทย|ถึงได้|ตรวจ,,0,Nonhatespeech,Positive,,Others
ส่งผล วังทะพันธ์ เบื่อกับคำว่าผ่านไปแล้ว ทั้งที่บางเรื่องมันป้องกันตั้งแต่ต้นได้ พม่ามีข่าวระบาดหนัก ต้องมีทะลักเข้าชายแดนมาบ้าง มีอำนาจ มีคนอยู่ในมือ ทำไมจะป้องกันไม่ได้ ปากบอกอย่าชุมนุมกัน แต่ปล่อยให้บ่อนเปิด แบ้วว่าไม่รู้ว่ามีบ่อน ลักลอบเข้าเมือง ก็ไปจับพวกที่พาเข้ามา ซึ่งก็รู้ว่าส่วนนึง มาจากเจ้าหน้าที่รัฐรับสินบน จับไปสิ จับให้หนัก ทำผลงานให้เห็น แล้วประชาชนจะศรัทธา ขอให้ทำอะไรก็จะช่วย เพราะแสดงให้เห็นว่ารัฐทำเต็มที่แล้ว วันก่อนขอความเห็นใจ ขอให้ช่วยเหลือชาวต่างด้าวที่เป็นสาเหตุส่วนหนึ่งให้โรคกลับมาระบาด แต่มาวันนี้กลับขู่ฟ่อๆเหมือนงูเห่าใส่คนไทยที่บางคนปฏิบัติตัวดีมาตลอด แต่ต้องมารับกรรม เพราะความละเลยของรัฐ มันใช่แล้วเหรอคะ รัฐช่วยทำงานของรตัวเองให้เต็มที่ก่อนเถอะค่ะ,ส่งผล| |วัง|ทะ|พันธ์|เบื่อกับ|คําว่า|ผ่านไป|แล้ว| |ทั้งที่|บางเรื่อง|มัน|ป้องกัน|ตั้งแต่ต้น|ได้| |พม่า|มีข่าว|ระบาด|หนัก| |ต้องมี|ทะลัก|เข้า|ชายแดน|มาบ้าง| |มีอํานาจ|มีคนอยู่ในมือ|ทําไมจะ|ป้องกัน|ไม่ได้| |ปาก|บอก|อย่า|ชุมนุม|กัน|แต่ปล่อยให้|บ่อน|เปิด| |แบ้|ว|ว่า|ไม่รู้ว่า|มี|บ่อน| |ลักลอบ|เข้าเมือง| |ก็ไป|จับ|พวกที่|พ|า|เข้ามา|ซึ่งก็รู้ว่า|ส่วนนึง| |มาจาก|เจ้าหน้า|ที่รัฐ|รับ|สินบน|จับไป|สิ|จับให้|หนัก| |ทําผลงาน|ให้เห็น|แล้วประชาชน|จะ|ศรัทธา|ขอให้ทําอะไรก็|จะช่วย|เพราะแสดงให้|เห็นว่า|รัฐ|ทํา|เต็มที่|แล้ว| |วันก่อน|ขอความ|เห็นใจ|ขอให้ช่วยเหลือ|ชาว|ต่างด้าว|ที่|เป็นสาเหตุ|ส่วนหนึ่ง|ให้|โรค|กลับมา|ระบาด|แต่มา|วันนี้|กลับ|ขู่|ฟ|่อ|ๆ|เหมือน|งูเห่า|ใส่|คนไทย|ที่|บางคน|ปฏิบัติ|ตัว|ดี|มาตลอด| |แต่ต้อง|มารับ|กรรม| |เพราะความ|ละเลย|ของรัฐ| |มันใช่|แล้ว|เหรอคะ| |รัฐ|ช่วย|ทํางาน|ของ|ร|ตัวเอง|ให้เต็มที่|ก่อน|เถอะค่ะ,,0,Nonhatespeech,Positive,,Others
ตายๆพม่าเถื่อนอีกตามบ่อกุ้งหนีผิดกฎหมายอีก,ตาย|ๆ|พม่า|เถื่อน|อีก|ตาม|บ่อ|กุ้ง|หนี|ผิดกฎหมาย|อีก,#ตาย|ๆ|#พม่า|#เถื่อน|อีก|ตาม|บ่อ|กุ้ง|#หนี|#ผิดกฎหมาย|อีก,-1,Hatespeech,Negative,#ตาย ๆ #พม่า #เถื่อน อีก ตาม บ่อ กุ้ง #หนี #ผิดกฎหมาย อีก,Anger
ในอดีตพม่ายกทัพตีบ้านเผาเมืองเรา ปัจจุบัน..พม่าเข้ามาตั้งรกรากทำงานในไทยพร้อมทั้งทำเศรษฐกิจไทยวอดวาย,ในอดีต|พม่า|ยกทัพ|ตี|บ้าน|เผา|เมือง|เรา|ปัจจุบันพม่า|เข้ามา|ตั้ง|รก|ราก|ทํางานใน|ไทย|พร้อมทั้ง|ทํา|เศรษฐกิจ|ไทย|วอด|วาย,,0,Nonhatespeech,Positive,,Others
ดีกว่าพวกชอบประชดประชันเยอะเลย พม่าก้อคนเหมือนกัน เขามาทำงานไม่ได้มาขอทาน เหมือนคนไทยทำงานเกาหลีนั่นละ หัดมีความสงสารเห็นใจให้เพื่อนมนุษย์บ้างนะ,ดีกว่า|พวก|ชอบ|ประชด|ประชัน|เยอะเลย| |พม่า|ก้อ|คน|เหมือนกัน|เขามาทํางาน|ไม่ได้|มา|ขอทาน|เหมือนคนไทย|ทํางาน|เกาหลี|นั่น|ละ| |หัด|มีความ|สงสาร|เห็นใจ|ให้เพื่อน|มนุษย์|บ้างนะ,,1,Nonhatespeech,Neutral,,trust
ฆ่าศึกครั้งนี้มันใหญ่หลวงยิ่งนัก ท่านเจ้าพี่จะทำเยี่ยงไรเจ้าค่ะ พม่ายกทับมาเยี่ยงนี้ น้องหวั่นเหลือเกิน ??,ฆ่า|ศึก|ครั้งนี้|มัน|ใหญ่หลวง|ยิ่งนัก|ท่านเจ้า|พี่|จะทํา|เยี่ยง|ไร|เจ้าค่ะ| |พม่า|ยก|ทับ|มา|เยี่ยง|นี้|น้องหวั่น|เหลือเกิน,,0,Nonhatespeech,Positive,,Others
ยิ่งกว่า พม่าเผากรุงศรีฯ,ยิ่งกว่า| |พม่า|เผา|กรุงศรี|ฯ,ยิ่งกว่า| |#พม่า|#เผา|#กรุงศรี|ฯ,-1,Hatespeech,Negative,ยิ่งกว่า   #พม่า #เผา #กรุงศรี ฯ,Sadness
เลือกเกิดไม่ได้จริงๆมนุย เข้าใจคนไทยในสถานการแบบนี้ เห็นใจพวกพม่าบ้างคน..แต่สงสัยทำไมนายจ้างถึงไม่ตรวจสอบสุขภาพพวกเค้าดีๆก่อนส่งมาทำงาน..สมุทรปราการตอนนี้ไม่ค่อยมีใครกล้าออกตลาดเท่าไหร่..เห็นใจทั้งสองฝ่ายจริง..ยังงัยขอสิ่งศักสิทเมตตามวลมนุยให้โรคร้ายนี้หายไปสักที,เลือก|เกิด|ไม่ได้|จริงๆ|ม|นุ|ย| |เข้าใจ|คนไทย|ใน|สถาน|การ|แบบนี้| |เห็นใจ|พวก|พม่า|บ้าง|คน|แต่|สงสัย|ทําไม|นายจ้าง|ถึงไม่|ตรวจสอบ|สุขภาพ|พวกเค้า|ดีๆ|ก่อน|ส่ง|มาทํางาน|ส|มุทรปราการ|ตอนนี้|ไม่ค่อยมี|ใคร|กล้า|ออก|ตลาด|เท่าไหร่|เห็นใจ|ทั้งสอง|ฝ่าย|จริง|ยังงัย|ขอ|สิ่ง|ศัก|สิ|ท|เมตตา|มวล|ม|นุ|ย|ให้|โรคร้าย|นี้|หายไป|สักที,,1,Nonhatespeech,Neutral,,trust
